,url,title,user_name,user_title,user_profile_link,number_of_posts_by_user,number_of_solutions_by_user,number_of_kudos_by_user,timestamp,post_content,solved,labels_list,number_of_views,number_of_likes,replies,accepted_sol
0,https://community.shopify.com/c/shopify-apps/how-to-resolve-issues-with-the-1p-subscription-app-block-in-non/td-p/2415591,How to resolve issues with the 1P Subscription App Block in non-default Shopify themes?,Jacqui,How to resolve issues with the 1P Subscription App Block in non-default Shopify themes?,https://community.shopify.com/c/user/viewprofilepage/user-id/1125555,213,40,427,2024-01-26T12:37:01.662-08:00,"This document is meant for merchants and theme partners who are encountering issues with the 1P Subscription App Block. It specifically applies to those who are not using a default version of an OS 2.0 theme created by Shopify . This includes custom themes, third-party themes, and modified versions of Shopify's themes. This document will explain how the various components of our app block integrate with the theme, what elements are required for our app block to work, and how you can update your theme to work with our app block. You will learn: Identifying Shopify sections Find the variant input Find the product form Hide the app block in the quick buy modal Requirements You've installed an Online Store 2.0 theme, such as Dawn , that uses JSON templates and supports app blocks . If you don’t know your theme architecture version (whether or not your theme is an Online Store 2.0 theme), you can follow these steps to find out. Don’t forget to make a copy of your theme before making any modifications. This will ensure that you can always revert back to a previous version if needed. Identifying Shopify sections To ensure that the 1P Subscriptions app block functions properly, the theme needs to have two specific implementations. These implementations allow the app block to effectively search and retrieve the necessary elements and data from the product page’s structure. Sections, as per the theme requirements . Sections that are independent of one another as described in Shopify sections best practices . For example, the main product section is independent of other sections like the featured product, and only contains data and elements that are related to the main product. Determine use of sections To determine if your theme is using sections, verify that your main product or featured product is wrapped with one of these tags using the developer tools. The tag should start with shopify-section-. <section id=""shopify-section-${sectionId}"" ...> Determine use of independent sections To determine if your theme is using independent sections, you can test in the Online Store Theme Editor that the product elements on the product page can be removed, added and reordered one independently of the other(s). For example, a featured product can be removed without removing the main product, and vice versa. What to do if your theme doesn’t support sections If you do not find this shopify section in your theme, then the main product or featured product is not using sections. You will need to implement them as sections that support app blocks to be compatible with the 1P Subscriptions app block. Here is the documentation to help you achieve that. This requires technical knowledge. What to do if your theme doesn’t support independent sections If your sections are not independent of one another, you will need to split them into individual sections, each with app block support . Here is the documentation to help you achieve that. This requires technical knowledge. Finding the product form In order for the 1P Subscriptions App Block to successfully find the product forms required for the functionality of the app block, the theme must use the action=""/cart/add"" on the section’s main product form. The app block will use the forms for 2 things: Appending the selling_plan input to the forms, this input is required to get the correct subscriptions data in the cart and in checkout Find and listen to the variant input. This is required for the app block to determine which selling plans are available for the selected variant. Determine use of the action=""/cart/add"" attribute To determine if your theme is using the action=""/cart/add"" attribute, use the developer tools to find the product form. You can hover over form elements in the product section, like the add to cart buttons, or variant options. Best practice is for forms to use forms tags, so searching for the form keyword in the elements can work too. What to do if your theme doesn’t use the action=""/cart/add"" attribute There are two ways to solve this issue Use the Liquid form tag, with the ‘product’ attribute , this form tag automatically uses the action=""/cart/add"" attribute. If your theme is already using this tag, it may be explicitly defining the action attribute, simply remove this definition. Find the product forms you want to use the app block on, in your theme and manually add the action=""/cart/add"" attribute. this . shopifySection . querySelectorAll ( '[action=""/cart/add""]' ); You’ll also want to make sure that any code in your theme that expects the form to use the previous action is modified to expect the new action attribute. Finding the variant input We search for an input or a select element with the attribute name=”id”. These are the most common elements used for variant selection. Additionally, them being named id is expected, since this is the field the form expects for the variant id. This means, in order for your theme to be compatible with the app block, the variant id will need to be stored in one of these element types. Determine if your theme uses a hidden input or select for the variant value To determine if your theme uses a select or input, use the developer tools Elements tab to search for the attribute name=""id"". Alternatively, you can find the add to cart forms, and check that this input or select element exists as one of its children. What to do if your theme doesn’t use a supported variant element You can follow this documentation to implement variant selection. The key section is creating a master variant selector using the input or select tag, with the attribute name=”id”. Listening to the variant change In order to display the correct selling plans associated with the selected variant, the app block listens for the variant change. First, the app block will need to find the form , then it will listen to this form for an onchange event to be emitted when the variant changes. It’s important that the value of the variant input is updated to the currently selected variant id before the event is emitted, since this is the value the app block will use to determine which selling plans are displayed. Determine if the form is emitting an event when the variant changes To determine if the form is emitting an event when the variant changes, you can: Add this code snippet to the main-product.liquid file in your theme code. (This is what the file is called in most themes, but can be named slightly differently depending on the theme.) Save and click “Preview store” Navigate to a product that has variants Open the developer tools console tab Change the variant If you see the text, “The form is emitting an event.”, then this means the app block can listen to the variant change. There are some exceptions where the app block may be able to listen to the variant change, but it still can’t identify the correct variant id. For example, your theme may trigger a form change before the variant id is updated. In this case, the app block would be using the previously selected variant id to display the selling plans, causing unpredictable behaviors. <script>

  document.addEventListener('DOMContentLoaded', () => {

    document.querySelectorAll('form').forEach((addToCartForm) => {

      addToCartForm.addEventListener('change', () => {

        console.log(""The form is emitting an event."")

      })

    })

  })

</script> What to do if your theme doesn’t emit an event when the variant changes You will need to understand how your theme works and emit an event when the variant is updated in the correct javascript file. If the form does emit an event, but you are seeing selling plans that belong to the previously selected variant, you need to make sure the form event is emitted when the variant id is updated. The solution for this incompatibility is different for every theme. Hiding the Subscriptions Widget in the quick buy Modal You may have noticed that the subscriptions widget appears in the quick buy modal of your theme. We currently do not support this feature, however, due to the way the quick buy modal is implemented in your theme, it may be visible. This can be fixed by adding custom CSS to the theme. Determine if the 1P Subscriptions widget is visible in the quick buy modal To determine if the 1P Subscriptions widget is visible in the quick buy modal, you will need to follow these steps. Add the subscriptions app block to a product, on the product page in the online store editor. Here’s a tutorial on how to do that. Enable quick buy or quick buy feature for your theme, or for a specific section. It depends on how your theme implements this feature. For a product with variants and that is linked to a selling plan, click the “Choose options” button or quick buy button. Check to see if the subscriptions widget is visible. What to do if the 1P Subscriptions widget is visible in the quick buy modal If the 1P subscriptions widget is visible in the quick buy modal, you can hide it by adding some custom CSS to your theme. Note that if you choose not to hide the widget, the 1P subscriptions app does not support the quick buy feature, therefore it will be visible, but non-functional. To add custom CSS to your theme, follow these steps. Find the modal id or class – you can do this by hovering over an open quick buy modal with the dev tools. Add one of these custom CSS snippets to your theme ( tutorial ) If you’re using the modal classname, use this snippet .<modal-classname> .shopify_subscriptions_app_block {

display: none;
}



If you’re using the modal id, use this snippet



#<modal-id> .shopify_subscriptions_app_block {

display: none;

} Jacqui | Community Moderator @ Shopify - Was my reply helpful? Click Like to let me know! - Was your question answered? Mark it as an Accepted Solution - To learn more visit the Shopify Help Center or the Shopify Blog",N,['Third Party Apps'],"3,743",4,['Thanks for Sharing this article.'], 
1,https://community.shopify.com/c/shopify-apps/purchase-order-customisation/td-p/2752604,"API Create Product {""errors"":{""product"":""Required parameter missing or invalid""}}",Pierre8,"API Create Product {""errors"":{""product"":""Required parameter missing or invalid""}}",https://community.shopify.com/c/user/viewprofilepage/user-id/1852718,1,0,0,2024-09-05T05:58:39.596-07:00,"Hello, I'm trying to create products on stores using the shopify API. It's working fine on one store but not in the other. Here is the request : POST : [store_url]/admin/api/2024-07/products.json Content-type : application/json Body {
    ""product"": {
        ""title"": ""TEST SHOPIFY - NE PAS EFFACER"",
        ""body_html"": """",
        ""vendor"": ""SHOPIFY"",
        ""product_type"": ""Antivol à code"",
        ""status"": ""active"",
		""published_scope"": ""global"",
		""published"": true,
		""metafields"": [],
""images"":[{""src"":""https:""}],
        ""variants"": [
            {
                ""title"": ""Default Title"",
                ""price"": ""20"",
                ""sku"": """",
                ""position"": 1,
                ""inventory_policy"": ""continue"",
                ""fulfillment_service"": ""manual"",
                ""inventory_management"": ""shopify"",
                ""option1"": ""Default Title"",
""metafields"": [],
                ""option2"": null,
                ""option3"": null,
                ""taxable"": true,
                ""barcode"": """",
                ""weight"": 2,
                ""inventory_quantity"": 1,
                ""old_inventory_quantity"": 0,			
                ""presentment_prices"": [
                    {
                        ""price"": {
                            ""amount"": ""20"",
                            ""currency_code"": ""EUR""
                        },
                        ""compare_at_price"": null
                    }
                ],
                ""requires_shipping"": true
            }
        ]
    }
} On one store the product is successfully created. On the other a status code 400 with the error message {""errors"":{""product"":""Required parameter missing or invalid""}} The error message does not tel me what parameter is missing.",N,['Shopify Developed Apps'],113,0,"['Hello, the image url in your request seems to be incomplete. Could that be the issue? If you like my suggestion please give it a LIKE or mark it as a solution! ★★★★★ Gojiberry - Best post-purchase survey and feedback app for Shopify | Install on App Store for free Shopify Community is helpful, BUT... why not start asking your customers for feedback instead?']", 
2,https://community.shopify.com/c/shopify-apps/screencast-review-app-on-facebook-webview/td-p/2752538,Update Api for product price pass value id with price in public app shopify,developer1257,Update Api for product price pass value id with price in public app shopify,https://community.shopify.com/c/user/viewprofilepage/user-id/1816498,6,0,0,2024-08-30T00:04:29.918-07:00,"app . post ( ""/update-price"" , async ( req , res ) => { const shopifyDomain = '' ; const accessToken = '' ; const productGID = '' ; // Replace with your product GID const variantGID = '' ; // Replace with your variant GID const newPrice = '' ; // New price to set const query = ` mutation { productUpdate(input: { id: "" ${ productGID } "", variants: [ { id: "" ${ variantGID } "", price: "" ${ newPrice } "" } ] }) { product { id title variants(first: 10) { edges { node { id price } } } } userErrors { field message } } } ` ; try { const response = await axios . post ( `https:// ${ shopifyDomain } /admin/api/2024-01/graphql.json` , { query }, { headers : { 'Content-Type' : 'application/json' , 'X-Shopify-Access-Token' : accessToken , }, } ); if ( response . data . errors ) { console . error ( 'GraphQL Errors:' , response . data . errors ); } else if ( response . data . data . productUpdate . userErrors . length > 0 ) { console . error ( 'User Errors:' , response . data . data . productUpdate . userErrors ); } else { console . log ( 'Product price updated:' , response . data . data . productUpdate . product ); } } catch ( error ) { console . error ( 'Error updating product price:' , error . response ? error . response . data : error . message ); } }) we have use graphql query and mutation also check they work proper in react with also for static store but we use this api in liquid file they show 404 error why same static store or product for this hwo please provide me a best solution",N,"['Migration', 'Shopify Developed Apps']",80,0,[], 
3,https://community.shopify.com/c/shopify-apps/telegram-pumpersrhoids-esteroides-anabolicos-a-la-venta/td-p/2752377,App/Element For Customers to enter zip code,sbar,App/Element For Customers to enter zip code,https://community.shopify.com/c/user/viewprofilepage/user-id/603010,54,0,18,2024-08-29T19:14:30.913-07:00,"Hi! I'm working on a site for a client & she really wants a page with a zip code feature — a lot of apps have this, but she wants the zip code to be entered > customer then what sees shipping, delivery, AND pickup options are available. It seems all apps out there only have this for delivery or pickup locations, not 3-in-1. Any ideas? I've installed and reached out to a handful of apps and would really love to get this figured out for her. We're building on clean canvas's symmetry theme — it has a zip code shipping calculator on the cart page, but 1) we need to show shipping AND delivery AND pickup options, and 2) she would like this calculator/element on it's own page. Any ideas? Thanks!!!!",N,['Third Party Apps'],88,0,[], 
4,https://community.shopify.com/c/shopify-apps/microsoft-sales-channel-error/td-p/2752161,Can't connect my facebook and instagram page to shopify,Pavit,Can't connect my facebook and instagram page to shopify,https://community.shopify.com/c/user/viewprofilepage/user-id/1626144,23,0,3,2024-08-29T16:09:51.832-07:00,The last image is the error:,N,"['Migration', 'Shopify Developed Apps', 'Third Party Apps']",120,1,"[""Hi @Pavit , Thanks for reaching out to the Shopify Community! We're MooseDesk , your go-to Live Chat, FAQ & Helpdesk App here to help you enhance your customer support experience . It’s great to see you joining the Shopify community. How’s everything going with your business? Hope things are going well for your business Based on your images you provided above, it seems like you don't have the necessary permissions or access to connect their business account to Shopify.\xa0To resolve this issue, I would suggest the following steps you could consider: Ensure that the Facebook account being used has admin access to the business page you want to connect. Check if the Facebook page is properly set up as a business page, not a personal profile. Verify that the Facebook business account meets all the requirements for selling on Facebook and Instagram through Shopify. This may include having a complete business profile, adhering to Facebook's commerce policies, and having an active Facebook catalog. Try logging out of Facebook completely, clearing browser cache and cookies, and then attempting the connection process again. If the issue persists, it may be worth contacting Facebook Business Support to ensure there are no restrictions on the account preventing this integration. As a last resort, consider creating a new Facebook business page specifically for the Shopify store if the current one is having persistent issues. If these steps don't resolve the issue, you should contact Shopify support directly, as there might be a technical issue on their end preventing the successful connection of the accounts. Moreover, if you're looking for a customer support to help drive more conversion to your store, I suggest exploring MooseDesk , a FREE LiveChat, FAQ & Helpdesk App that can help your support experience easier, better, faster! With MooseDesk's Omnichannel Support, you can engage with customers through live chat, manage inquiries with a robust ticket system, and provide quick responses via a WhatsApp button. Or you can let customers resolve questions faster with in-built FAQ, Order tracking module, and more. So those are some of my suggestions for your store as an UX expert. If this is helpful for you, please let me know by giving me a 'LIKE' . If your question is answered please mark this as 'SOLUTION’. Once again, keep up the fantastic work, and I wish you the best of luck in the future! Was your question answered? Giving MooseDesk's reply a Like or marking it as an Accepted Solution! MooseDesk - #All-in-one Customer Support and Helpdesk Solution for Shopify Merchants Install now. Be our early bird and get all features free forever.""]", 
5,https://community.shopify.com/c/shopify-apps/how-to-set-inventory-quantity-when-continue-selling-when-out-of/td-p/2751835,How to create an alternative payment app on site?,daniloab,How to create an alternative payment app on site?,https://community.shopify.com/c/user/viewprofilepage/user-id/1845865,5,1,0,2024-08-29T13:15:17.015-07:00,"Hi, there I am already a partner of Shopify and I am trying to create a new payment app on-site using build alternative apps https://shopify.dev/docs/apps/build/payments/alternative/build-an-alternative-payment-extension . At the step 3'Create a payments extension'Create a payments extension it says When prompted for ""Type of extension"", select ""Payments App Extension > Custom Onsite"" and name your extension. but when typing on the terminal it returns a different list and names (second image ) for this step it will be the option Payment Extensions > Alternative? Does anyone know how to create it? Also, is there full documentation about creating a new payment app onsite and auth steps to install the app? Solved! Go to the solution",Y,['Shopify Developed Apps'],93,0,"['At the end I followed with this option, you must have a app, an extension UI app and a payment app View solution in original post']","At the end I followed with this option, you must have a app, an extension UI app and a payment app View solution in original post"
6,https://community.shopify.com/c/shopify-apps/shopify-google-merchant-products-rejected/td-p/2751710,Link for different languages,CED9,Link for different languages,https://community.shopify.com/c/user/viewprofilepage/user-id/1829562,5,0,0,2024-08-29T11:13:56.236-07:00,"Hello, I installed Track123 as an application to track order progression. My problem now is with translations. Since I have to add a fixed link into Main menu (navigation. xxx.com/apps/tracking But to get the page in german i would need a link to open this page: xxx.com/de/apps/tracking Is there anyway to dinamically set this? Thanks!",N,"['Shopify Developed Apps', 'Third Party Apps']",114,0,[], 
7,https://community.shopify.com/c/shopify-apps/upgrade-shopify-api-to-the-latest-version/td-p/2751672,Can my app that is setup on Heroku handle receiving/sending a big amount of webhooks?,Redas,Can my app that is setup on Heroku handle receiving/sending a big amount of webhooks?,https://community.shopify.com/c/user/viewprofilepage/user-id/1847533,1,0,0,2024-08-29T10:30:45.109-07:00,"Hello, I am creating an app whose main function will be receiving orders/create webhook and sending the order info to another site. The working setup I've got currently sends the webhook upon creating an order through my server on heroku using HTTPS. Will heroku reliably handle a heavier amount of webhooks and POST methods, say 100 orders/min? Is there any way to test?",N,['Shopify Developed Apps'],92,0,"['Here\'s a few questions to help you calculate a rough estimate of the ""throughput"" or the number of concurrent webhooks your heroku server can handle: When a webhook is received by your server, is it simply forwarding the request or doing some processing before it forwards it to the next server? If there\'s no processing, what\'s your forwarding latency\xa0to the next server? This will determine how many requests you can serve concurrently in a second (generally the level of granularity used, but you can measure it for a minute or any other time unit you want) If there is processing, what\'s your processing latency + forwarding latency? This will determine the throughput then One way to load test, is by calling the function that\'s executed when a webhook is received by yourself several thousand times and measuring the overall average time for the function to finish execution. This\'ll give you a lower bound on how fast webhooks will be serviced by your heroku server. Obviously, the more CPU, RAM or network quality you get for the heroku server, the faster the webhooks will be processed. If you found my post helpful, consider giving it a thumbs up. Creator of https://apps.shopify.com/simple-file-manager - Simplify your file management.']", 
8,https://community.shopify.com/c/shopify-apps/how-do-app-free-trials-work-for-monthly-subscriptions/td-p/2751408,Facebook and Instagram Shop Disable,dezan,Facebook and Instagram Shop Disable,https://community.shopify.com/c/user/viewprofilepage/user-id/1841741,2,0,0,2024-08-29T10:02:54.947-07:00,"Hi please help me ""shop on Instagram disabled"" was previously successful and passed review. but the next day it was reviewed again with ""Syncing additional info"" and my Instagram shop disappeared again from my profile.",N,['Third Party Apps'],85,0,[], 
9,https://community.shopify.com/c/shopify-apps/api-create-product-quot-errors-quot-quot-product-quot-quot/td-p/2751309,Customer account extension,wandersoncorrea,Customer account extension,https://community.shopify.com/c/user/viewprofilepage/user-id/1736336,5,0,0,2024-08-29T09:33:14.508-07:00,"I need to customize the delivery status of my orders, but I also need to hide or remove the order status area from the Shopify store. Is there any way to remove or hide the delivery status area in my orders within the new customer account, either through an app extension or any other method?",N,['Shopify Developed Apps'],79,0,[], 
